Variable,Value,Description, Customer Count ,Customer Percent, Market Base Count ,Market Base Percent,Index
HOUSEHOLD INCOME,E,"$26,000 - $30,000",124,1.75%,979,2.54%,69
HOUSEHOLD INCOME,F,"$31,000 - $35,000",161,2.28%,983,2.56%,89
HOUSEHOLD INCOME,G,"$36,000 - $40,000",166,2.35%,"1,067",2.77%,85
HOUSEHOLD INCOME,H,"$41,000 - $45,000",136,1.92%,884,2.30%,84
HOUSEHOLD INCOME,I,"$46,000 - $50,000",175,2.47%,"1,099",2.86%,87
HOUSEHOLD INCOME,J,"$51,000 - $55,000",189,2.67%,"1,298",3.37%,79
HOUSEHOLD INCOME,K,"$56,000 - $60,000",240,3.39%,"1,482",3.85%,88
HOUSEHOLD INCOME,L,"$61,000 - $70,000",480,6.79%,"3,010",7.82%,87
HOUSEHOLD INCOME,M,"$71,000 - $80,000",555,7.85%,"3,060",7.95%,99
HOUSEHOLD INCOME,N,"$81,000 - $90,000",434,6.14%,"2,521",6.55%,94
HOUSEHOLD INCOME,O,"$91,000 - $100,000",440,6.22%,"2,512",6.53%,95
HOUSEHOLD INCOME,P,"$101,000 - $110,000",466,6.59%,"2,413",6.27%,105
HOUSEHOLD INCOME,Q,"$111,000 - $120,000",430,6.08%,"2,179",5.66%,107
HOUSEHOLD INCOME,R,"$121,000 - $130,000",400,5.65%,"2,021",5.25%,108
HOUSEHOLD INCOME,S,"$131,000 - $140,000",330,4.66%,"1,715",4.46%,105
HOUSEHOLD INCOME,T,"$141,000 - $500,000+","1,895",26.79%,"9,181",23.86%,112
HOUSEHOLD INCOME,U,UNKNOWN,             -,0.00%,                   - ,0.00%,       -
MARITAL STATUS,M,MARRIED,"3,989",56.39%,"21,547",56.01%,101
MARITAL STATUS,S,SINGLE,"2,083",29.45%,"11,102",28.86%,102
MARITAL STATUS,U,UNKNOWN,"1,002",14.16%,"5,823",15.14%,94
OWN RENT,0,RENTER,551,7.79%,                   - ,0.00%,       -
OWN RENT,1,OWNER,"6,523",92.21%,"38,472",100.00%,92
OWN RENT,U,UNKNOWN,             -,0.00%,                   - ,0.00%,       -
PURCHASING POWER INDICATOR,A,100 TO 249,381,5.39%,"1,640",4.26%,126
PURCHASING POWER INDICATOR,B,250 TO 499,269,3.80%,"1,932",5.02%,76
PURCHASING POWER INDICATOR,C,500 TO 999,353,4.99%,"2,219",5.77%,87
PURCHASING POWER INDICATOR,D,"1,000 TO 4,999",402,5.68%,"2,586",6.72%,85
PURCHASING POWER INDICATOR,E,"5,000 TO 9,999",532,7.52%,"3,340",8.68%,87
PURCHASING POWER INDICATOR,F,"10,000 AND ABOVE",610,8.62%,"3,536",9.19%,94
PURCHASING POWER INDICATOR,G,UNKNOWN,503,7.11%,"2,862",7.44%,96
PURCHASING POWER INDICATOR,H,"LESS THAN $500,000",491,6.94%,"2,806",7.29%,95
PURCHASING POWER INDICATOR,I,"$500,000 TO $1 MILLION            524",,7.41%,"2,688",6.99%,106
PURCHASING POWER INDICATOR,J,$1 TO $2.5 MILLION,"1,093",15.45%,"5,537",14.39%,107
PURCHASING POWER INDICATOR,K,$2.5 TO $5 MILLION,573,8.10%,"3,201",8.32%,97
PURCHASING POWER INDICATOR,L,$5 TO $10 MILLION,388,5.48%,"1,774",4.61%,119
PURCHASING POWER INDICATOR,M,$10 TO $20 MILLION,363,5.13%,"1,640",4.26%,120
PURCHASING POWER INDICATOR,N,$20 TO $50 MILLION,316,4.47%,"1,402",3.64%,123
PURCHASING POWER INDICATOR,O,$50 TO $100 MILLION,115,1.63%,526,1.37%,119
PURCHASING POWER INDICATOR,P,$100 TO $500 MILLION,100,1.41%,473,1.23%,115
PURCHASING POWER INDICATOR,Q,$500 TO $1 BILLION,56,0.79%,286,0.74%,106
PURCHASING POWER INDICATOR,R,OVER $1 BILLION,5,0.07%,24,0.06%,113
PURCHASING POWER INDICATOR,U,UNKNOWN,             -,0.00%,                   - ,0.00%,       -
CONSUMER STABILITY INDEX,1,LESS THAN 19,2,0.03%,             -,0.00%,        - 
CONSUMER STABILITY INDEX,2,20 - 30,80,1.13%,6,0.02%,"7,251"
CONSUMER STABILITY INDEX,3,31 - 40,219,3.10%,278,0.72%,428
CONSUMER STABILITY INDEX,4,41 - 50,287,4.06%,"1,713",4.45%,91
CONSUMER STABILITY INDEX,5,51 - 55,244,3.45%,"1,874",4.87%,71
CONSUMER STABILITY INDEX,6,56 - 60,419,5.92%,"2,882",7.49%,79
CONSUMER STABILITY INDEX,7,61 - 65,660,9.33%,"3,968",10.31%,90
CONSUMER STABILITY INDEX,8,66 - 70,937,13.25%,"5,509",14.32%,93
CONSUMER STABILITY INDEX,9,71 - 75,"1,157",16.36%,"6,325",16.44%,99
CONSUMER STABILITY INDEX,10,76 - 80,"1,378",19.48%,"6,993",18.18%,107
CONSUMER STABILITY INDEX,11,81 - 85,"1,099",15.54%,"5,730",14.89%,104
CONSUMER STABILITY INDEX,12,86 - 90,509,7.20%,"2,627",6.83%,105
CONSUMER STABILITY INDEX,13,91+,83,1.17%,567,1.47%,80
CONSUMER STABILITY INDEX,U,UNKNOWN,              -,0.00%,             -,0.00%,        - 
EARLY TECHNOLOGY ADOPTER,1,MOST LIKELY,"2,329",32.92%,"11,844",30.79%,107
EARLY TECHNOLOGY ADOPTER,2,NEXT MOST LIKELY,"1,188",16.79%,"7,111",18.48%,91
EARLY TECHNOLOGY ADOPTER,3,NEXT MOST LIKELY,758,10.72%,"4,752",12.35%,87
EARLY TECHNOLOGY ADOPTER,4,NEXT MOST LIKELY,607,8.58%,"3,461",9.00%,95
EARLY TECHNOLOGY ADOPTER,5,NEXT MOST LIKELY,536,7.58%,"2,750",7.15%,106
EARLY TECHNOLOGY ADOPTER,6,NEXT MOST LIKELY,489,6.91%,"2,254",5.86%,118
EARLY TECHNOLOGY ADOPTER,7,NEXT MOST LIKELY,362,5.12%,"2,153",5.60%,91
EARLY TECHNOLOGY ADOPTER,8,NEXT MOST LIKELY,386,5.46%,"2,108",5.48%,100
EARLY TECHNOLOGY ADOPTER,9,NEXT MOST LIKELY,268,3.79%,"1,567",4.07%,93
EARLY TECHNOLOGY ADOPTER,10,LEAST LIKELY,151,2.13%,472,1.23%,174
EARLY TECHNOLOGY ADOPTER,U,UNKNOWN,              -,0.00%,             -,0.00%,        - 
EXPENDABLE INCOME RANK,A,TOP RANK,"1,252",17.70%,"5,784",15.03%,118
EXPENDABLE INCOME RANK,B,SECOND RANK,"1,009",14.26%,"5,258",13.67%,104
EXPENDABLE INCOME RANK,C,THRID RANK,873,12.34%,"4,631",12.04%,103
EXPENDABLE INCOME RANK,D,FOURTH RANK,701,9.91%,"3,757",9.77%,101
EXPENDABLE INCOME RANK,E,FIFTH RANK,586,8.28%,"3,222",8.37%,99
EXPENDABLE INCOME RANK,F,SIXTH RANK,483,6.83%,"2,935",7.63%,89
EXPENDABLE INCOME RANK,G,SEVENTH RANK,413,5.84%,"2,548",6.62%,88
EXPENDABLE INCOME RANK,H,EIGHTH RANK,363,5.13%,"2,071",5.38%,95
EXPENDABLE INCOME RANK,I,NINTH RANK,263,3.72%,"1,592",4.14%,90
EXPENDABLE INCOME RANK,J,TENTH RANK,227,3.21%,"1,439",3.74%,86
EXPENDABLE INCOME RANK,K,ELEVENTH RANK,208,2.94%,"1,272",3.31%,89
EXPENDABLE INCOME RANK,L,TWELFTH RANK,189,2.67%,"1,130",2.94%,91
EXPENDABLE INCOME RANK,M,THIRTEENTH RANK,166,2.35%,879,2.28%,103
EXPENDABLE INCOME RANK,N,FOURTEENTH RANK,158,2.23%,661,1.72%,130
EXPENDABLE INCOME RANK,O,FIFTEENTH RANK,183,2.59%,"1,293",3.36%,77
EXPENDABLE INCOME RANK,U,UNKNOWN,              -,0.00%,             -,0.00%,        - 
HEAVY INTERNET USER,1,MOST LIKELY TO USE,889,12.57%,"4,193",10.90%,115
HEAVY INTERNET USER,2,NEXT MOST LIKELY,"1,091",15.42%,"5,951",15.47%,100
HEAVY INTERNET USER,3,NEXT MOST LIKELY,861,12.17%,"5,060",13.15%,93
HEAVY INTERNET USER,4,NEXT MOST LIKELY,654,9.25%,"3,790",9.85%,94
HEAVY INTERNET USER,5,NEXT MOST LIKELY,519,7.34%,"3,212",8.35%,88
HEAVY INTERNET USER,6,NEXT MOST LIKELY,571,8.07%,"3,359",8.73%,92
HEAVY INTERNET USER,7,NEXT MOST LIKELY,836,11.82%,"4,457",11.59%,102
HEAVY INTERNET USER,8,NEXT MOST LIKELY,847,11.97%,"4,381",11.39%,105
HEAVY INTERNET USER,9,NEXT MOST LIKELY,570,8.06%,"2,940",7.64%,105
HEAVY INTERNET USER,10,LEAST LIKELY TO USE,236,3.34%,"1,129",2.93%,114
HEAVY INTERNET USER,U,UNKNOWN,              -,0.00%,             -,0.00%,        - 
LENGTH OF RESIDENCE,01 1 YEAR,,336,4.75%,"2,325",6.04%,79
LENGTH OF RESIDENCE,02 2 YEARS,,335,4.74%,"1,837",4.77%,99
LENGTH OF RESIDENCE,03 3 YEARS,,575,8.13%,"2,987",7.76%,105
LENGTH OF RESIDENCE,04 4 YEARS,,601,8.50%,"2,735",7.11%,120
LENGTH OF RESIDENCE,05 5 YEARS ,,536,7.58%,"2,590",6.73%,113
LENGTH OF RESIDENCE,06 6 - 7 YEARS,,879,12.43%,"4,373",11.37%,109
LENGTH OF RESIDENCE,07 8 - 9 YEARS,,750,10.60%,"3,875",10.07%,105
LENGTH OF RESIDENCE,08 10 - 14 YEARS,,"1,053",14.89%,"5,687",14.78%,101
LENGTH OF RESIDENCE,09 15+ YEARS,,"2,009",28.40%,"12,063",31.36%,91
LENGTH OF RESIDENCE,U UNKNOWN,,                 -,0.00%,                -,0.00%,      -
POTENTIAL INVESTOR CONSUMER,01 - 03 VERY AGGRESSIVE INVESTOR,,"3,613",51.07%,"18,708",48.63%,105
POTENTIAL INVESTOR CONSUMER,04 - 06 AGGRESSIVE INVESTOR,,"1,739",24.58%,"9,785",25.43%,97
POTENTIAL INVESTOR CONSUMER,07 - 14 LIKELY INVESTOR,,"1,602",22.65%,"9,420",24.49%,92
POTENTIAL INVESTOR CONSUMER,15 - 20 LEAST LIKELY INVESTOR,,120,1.70%,559,1.45%,117
POTENTIAL INVESTOR CONSUMER,U,UNKNOWN,                 -,0.00%,                -,0.00%,      -
SOCIO-ECONOMIC STATUS INDICATOR,1,LESS THAN 10,66,0.93%,307,0.80%,117
SOCIO-ECONOMIC STATUS INDICATOR,2,20-Nov,                 -,0.00%,                -,0.00%,      -
SOCIO-ECONOMIC STATUS INDICATOR,3,21 - 30,173,2.45%,563,1.46%,167
SOCIO-ECONOMIC STATUS INDICATOR,4,31 - 40,243,3.44%,"1,271",3.30%,104
SOCIO-ECONOMIC STATUS INDICATOR,5,41 - 50,827,11.69%,"5,288",13.75%,85
SOCIO-ECONOMIC STATUS INDICATOR,6,51 - 60,"1,288",18.21%,"7,611",19.78%,92
SOCIO-ECONOMIC STATUS INDICATOR,7,61 - 70,"1,908",26.97%,"10,540",27.40%,98
SOCIO-ECONOMIC STATUS INDICATOR,8,71 - 80,"1,398",19.76%,"7,183",18.67%,106
SOCIO-ECONOMIC STATUS INDICATOR,9,81 - 90,"1,171",16.55%,"5,709",14.84%,112
SOCIO-ECONOMIC STATUS INDICATOR,10,91 - 100,                 -,0.00%,                -,0.00%,      -
SOCIO-ECONOMIC STATUS INDICATOR,U,UNKNOWN,                 -,0.00%,                -,0.00%,      -
WEALTH FINDER,A,"$13,693,440 +",158,2.23%,734,1.91%,117
WEALTH FINDER,B,"$8,693,520 - $13,693,439",470,6.64%,"2,229",5.79%,115
WEALTH FINDER,C,"$3,693,600 - $8,693,519",479,6.77%,"2,423",6.30%,108
WEALTH FINDER,D,"D - $3,218,667 - $3,693,599",451,6.38%,"2,127",5.53%,115
WEALTH FINDER,E,"E - $2,743,733 - $3,218,666",386,5.46%,"1,830",4.76%,115
WEALTH FINDER,F,"$1,186,300 - $2,7,43,732","1,411",19.95%,"7,229",18.79%,106
WEALTH FINDER,G,"G - $739,000 - $1,186,299",955,13.50%,"5,425",14.10%,96
WEALTH FINDER,H,"H - $554,050 - $738,999",756,10.69%,"4,147",10.78%,99
WEALTH FINDER,I,"$369,100 - $554,049",496,7.01%,"3,026",7.87%,89
WEALTH FINDER,J,"$295,000 - $369,099",288,4.07%,"2,220",5.77%,71
WEALTH FINDER,K,"$220,900 - $294,999",257,3.63%,"1,720",4.47%,81
WEALTH FINDER,L,"$173,850 - $220,899",173,2.45%,"1,334",3.47%,71
WEALTH FINDER,M,"$126,800 - $173,849",136,1.92%,"1,114",2.90%,66
WEALTH FINDER,N,"$97,300 - $126,799",113,1.60%,939,2.44%,65
WEALTH FINDER,O,"$71,501 - $97,299",67,0.95%,702,1.82%,52
WEALTH FINDER,P,"$51,303 - $71,500",75,1.06%,526,1.37%,78
WEALTH FINDER,Q,"$20,703 - $51,302",152,2.15%,575,1.49%,144
WEALTH FINDER,R,"$5,700 - $20,702",155,2.19%,153,0.40%,551
WEALTH FINDER,S,"$550 - $5,699",80,1.13%,19,0.05%,"2,290"
WEALTH FINDER,T,$0 - $549,16,0.23%,                -,0.00%,      -
WEALTH FINDER,U,UNKNOWN,                 -,0.00%,                -,0.00%,      -
